City,Latitude,Longitude,TYPE_OF_BC,NAME,COUNTRY,
Zosin (road) POLAND,50.85,24.1,Road,Zosin (road),Poland,"Zosin (road), Poland"
Albita ROMANIA,46.797994,28.143579,Road,Albita,Romania,"Albita, Romania"
Braila ROMANIA,45.265246,27.959471,Port,Braila,Romania,"Braila, Romania"
Galati ROMANIA,45.435321,28.007994,Port,Galati,Romania,"Galati, Romania"
Galati ROMANIA,45.435321,28.007994,Road,Galati,Romania,"Galati, Romania"
Galati ROMANIA,45.435321,28.007994,Railway,Galati,Romania,"Galati, Romania"
Halmeu ROMANIA,47.97995,23.013257,Road,Halmeu,Romania,"Halmeu, Romania"
Iasi (Ungheni) ROMANIA,47.196931,27.781735,Railway,Iasi (Ungheni),Romania,"Iasi (Ungheni), Romania"
Oancea ROMANIA,45.917782,28.109492,Road,Oancea,Romania,"Oancea, Romania"
Radauti Prut ROMANIA,48.239289,26.806398,Road,Radauti Prut,Romania,"Radauti Prut, Romania"
Sculeni ROMANIA,47.314543,27.607123,Road,Sculeni,Romania,"Sculeni, Romania"
Sighetul Marmatiei ROMANIA,47.927707,23.897651,Road,Sighetul Marmatiei,Romania,"Sighetul Marmatiei, Romania"
Siret ROMANIA,47.955267,26.064168,Road,Siret,Romania,"Siret, Romania"
Stanca ROMANIA,44.87555,27.815317,Road,Stanca,Romania,"Stanca, Romania"
Sulina ROMANIA,45.156745,29.659549,Port,Sulina,Romania,"Sulina, Romania"
Tulcea ROMANIA,45.171617,28.791444,Port,Tulcea,Romania,"Tulcea, Romania"
Vicsani ROMANIA,47.93684,25.979091,Railway,Vicsani,Romania,"Vicsani, Romania"
Čierna nad Tisou SLOVAKIA,48.416247,22.089159,Railway,Čierna nad Tisou,Slovakia,"Čierna nad Tisou, Slovakia"
Maťovské Vojkovce SLOVAKIA,48.564692,22.140608,Railway,Maťovské Vojkovce,Slovakia,"Maťovské Vojkovce, Slovakia"
Ubľa SLOVAKIA,48.899219,22.391791,NOT SPECIFIED,Ubľa,Slovakia,"Ubľa, Slovakia"
Veľké Slemence SLOVAKIA,48.509593,22.147047,Pedestrians,Veľké Slemence,Slovakia,"Veľké Slemence, Slovakia"
VYSNE NEMECKE SLOVAKIA,48.661135,22.263759,Road,VYSNE NEMECKE,Slovakia,"VYSNE NEMECKE, Slovakia"
