latitude,longitude,capacity,iday,imonth,iyear,date,city,provstate,country,country_txt,attacktype
43.291618,-1.977903,1,15,12,1983,15/12/1983,Donostia-San Sebastian,Basque Country,185,Spain,Armed Assault
54.052218,-7.803204,2,16,12,1983,16/12/1983,Ballinamore,Leitrim,96,Ireland,Armed Assault
51.504387,-0.140041,5,17,12,1983,17/12/1983,London,England,603,United Kingdom,Bombing/Explosion
54.842824,-6.667731,1,17,12,1983,17/12/1983,Maghera,Northern Ireland,603,United Kingdom,Assassination
43.492949,-1.474841,1,19,12,1983,19/12/1983,Bayonne,Aquitaine,69,France,Assassination
43.388051,-1.663055,1,28,12,1983,28/12/1983,Saint-Jean-de-Luz,Aquitaine,69,France,Assassination
43.296482,5.36978,2,31,12,1983,31/12/1983,Marseilles,Provence-Alpes-Cote d'Azur,69,France,Bombing/Explosion
45.072641,4.847654,3,31,12,1983,31/12/1983,Tain L'Hermitage,Rhone-Alpes,69,France,Bombing/Explosion
54.298121,-6.521291,1,2,1,1984,02/01/1984,Markethill,Northern Ireland,603,United Kingdom,Assassination
40.326422,-3.758988,2,2,1,1984,02/01/1984,Leganes,Madrid,185,Spain,Assassination
54.706718,-7.592867,1,2,1,1984,02/01/1984,Castlederg,Northern Ireland,603,United Kingdom,Assassination
54.183052,-6.341388,1,10,1,1984,10/01/1984,Newry,Northern Ireland,603,United Kingdom,Assassination
41.930607,8.742907,1,10,1,1984,10/01/1984,Ajaccio,Corsica,69,France,Bombing/Explosion
54.607712,-5.95621,1,20,1,1984,20/01/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
41.890961,12.490069,1,21,1,1984,21/01/1984,Rome,Lazio,98,Italy,Assassination
54.463367,-6.328597,1,27,1,1984,27/01/1984,Lurgan,Northern Ireland,603,United Kingdom,Assassination
40.465595,-3.696263,1,29,1,1984,29/01/1984,Madrid,Madrid,185,Spain,Assassination
54.081638,-6.448779,2,31,1,1984,31/01/1984,Forkhill,Northern Ireland,603,United Kingdom,Bombing/Explosion
52.482961,-1.893592,1,3,2,1984,03/02/1984,Birmingham,England,603,United Kingdom,Hostage Taking (Kidnapping)
43.34872,-3.010091,1,4,2,1984,04/02/1984,Algorta,Basque Country,185,Spain,Assassination
43.291618,-1.977903,1,5,2,1984,05/02/1984,Donostia-San Sebastian,Basque Country,185,Spain,Assassination
48.856644,2.34233,2,7,2,1984,07/02/1984,Paris,Ile-de-France,69,France,Assassination
43.359399,-1.766148,2,7,2,1984,07/02/1984,Hendaye,Aquitaine,69,France,Assassination
48.856644,2.34233,1,8,2,1984,08/02/1984,Paris,Ile-de-France,69,France,Assassination
54.380333,-5.547978,1,13,2,1984,13/02/1984,Portaferry,Northern Ireland,603,United Kingdom,Assassination
41.890961,12.490069,1,15,2,1984,15/02/1984,Rome,Lazio,98,Italy,Assassination
43.297222,-2.991667,1,16,2,1984,16/02/1984,Barakaldo,Basque Country,185,Spain,Armed Assault
42.695391,-1.676069,2,19,2,1984,19/02/1984,Unknown,Navarre,185,Spain,Assassination
55.011103,-6.411225,3,21,2,1984,21/02/1984,Dunloy,Northern Ireland,603,United Kingdom,Armed Assault
43.291618,-1.977903,1,23,2,1984,23/02/1984,Donostia-San Sebastian,Basque Country,185,Spain,Assassination
43.181544,-0.914847,1,25,2,1984,25/02/1984,Idaux-Mendy,Aquitaine,69,France,Assassination
43.359399,-1.766148,1,1,3,1984,01/03/1984,Hendaye,Aquitaine,69,France,Assassination
42.84964,-2.692359,1,1,3,1984,01/03/1984,Vitoria,Basque Country,185,Spain,Assassination
54.706718,-7.592867,1,2,3,1984,02/03/1984,Castlederg,Northern Ireland,603,United Kingdom,Assassination
54.787715,-6.492314,1,2,3,1984,02/03/1984,Unknown,Northern Ireland,603,United Kingdom,Assassination
54.347539,-6.656108,1,3,3,1984,03/03/1984,Armagh,Northern Ireland,603,United Kingdom,Bombing/Explosion
54.607712,-5.95621,1,6,3,1984,06/03/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
54.479875,-6.228448,1,8,3,1984,08/03/1984,Moira,Northern Ireland,603,United Kingdom,Assassination
54.547617,-7.81769,1,13,3,1984,13/03/1984,Tullyhommon,Northern Ireland,603,United Kingdom,Assassination
43.483152,-1.558626,1,19,3,1984,19/03/1984,Biarritz,Aquitaine,69,France,Assassination
54.607712,-5.95621,1,19,3,1984,19/03/1984,Belfast,Northern Ireland,603,United Kingdom,Assassination
43.32412,-1.929857,2,22,3,1984,22/03/1984,Pasajes,Basque Country,185,Spain,Armed Assault
43.323348,-1.930432,4,23,3,1984,23/03/1984,Pasajes de San Pedro,Basque Country,185,Spain,Armed Assault
55.011562,-7.312045,1,27,3,1984,27/03/1984,Londonderry,Northern Ireland,603,United Kingdom,Bombing/Explosion
37.99749,23.762728,1,28,3,1984,28/03/1984,Athens,Attica,78,Greece,Assassination
40.17593,18.030423,1,1,4,1984,01/04/1984,Nardo,Apulia,98,Italy,Assassination
43.130387,-2.542155,1,1,4,1984,01/04/1984,Elorrio,Basque Country,185,Spain,Assassination
