latitude,longitude,capacity,iday,imonth,iyear,date,city,region_txt,provstate,country_txt,attacktype
54.131402,-6.586387,2,10,2,1972,26339,Cullyhanna,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.184008,-7.360209,1,13,2,1972,26342,Newtownbutler,Western Europe,Northern Ireland,United Kingdom,Assassination
55.011562,-7.312045,1,16,2,1972,26345,Londonderry,Western Europe,Northern Ireland,United Kingdom,Hostage Taking (Kidnapping)
54.479875,-6.228448,1,16,2,1972,26345,Moira,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,17,2,1972,26346,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,4,21,2,1972,26350,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
51.248429,-0.755979,7,22,2,1972,26351,Aldershot,Western Europe,England,United Kingdom,Bombing/Explosion
51.248429,-0.755979,7,22,2,1972,26351,Aldershot,Western Europe,England,United Kingdom,Bombing/Explosion
54.463367,-6.328597,1,29,2,1972,26358,Lurgan,Western Europe,Northern Ireland,United Kingdom,Assassination
54.183052,-6.341388,1,29,2,1972,26358,Newry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.365171,-8.036373,1,1,3,1972,26359,Frevagh,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,3,3,1972,26361,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,4,3,1972,26362,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,2,4,3,1972,26362,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
55.011562,-7.312045,1,4,3,1972,26362,Londonderry,Western Europe,Northern Ireland,United Kingdom,Assassination
54.293235,-6.842351,1,8,3,1972,26366,Middletown,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,12,3,1972,26370,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,1,13,3,1972,26371,Belfast,Western Europe,Northern Ireland,United Kingdom,Assassination
54.536706,-6.70361,1,15,3,1972,26373,Coalisland,Western Europe,Northern Ireland,United Kingdom,Assassination
54.607712,-5.95621,2,15,3,1972,26373,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.463367,-6.328597,1,16,3,1972,26374,Lurgan,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
54.607712,-5.95621,7,20,3,1972,26378,Belfast,Western Europe,Northern Ireland,United Kingdom,Bombing/Explosion
